Reference, Value, Footprint, Datasheet
"P1","Power","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08",""
"P2","Analog","Socket_Arduino_Uno:Socket_Strip_Arduino_1x06",""
"P4","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08",""
"P3","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x10",""
"U1","STM32L151C6TxA","Housings_QFP:TQFP-48_7x7mm_Pitch0.5mm",""
"P9","FX2LA","Socket_Strips:Socket_Strip_Angled_2x05_Pitch2.54mm",""
"P10","CONTROL","Connectors:USB_Micro-B_10103594-0001LF",""
"C2","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C1","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C3","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C4","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C5","100n","Capacitors_SMD:C_0603_HandSoldering",""
"U2","MIC550x-3.3YM5","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering",""
"P11","CONN_01X06","Socket_Strips:Socket_Strip_Straight_1x06_Pitch2.54mm",""
"R1","4k7","Resistors_SMD:R_0603_HandSoldering",""
"R2","4k7","Resistors_SMD:R_0603_HandSoldering",""
"JP1","Jumper_NC_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"JP2","Jumper_NC_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"C6","100n","Capacitors_SMD:C_0603_HandSoldering",""
"C8","1u","Capacitors_SMD:C_0603_HandSoldering",""
"C7","1u","Capacitors_SMD:C_0603_HandSoldering",""
"Y1","Crystal_GND24_Small","Crystals:Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm",""
"C10","18pf","Capacitors_SMD:C_0603_HandSoldering",""
"C9","18pf","Capacitors_SMD:C_0603_HandSoldering",""
"JP3","Jumper_NC_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"J1","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"PB0","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
"PB1","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
"PB10","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
"PB11","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
"PA8","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
"PA9","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
"PA10","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
"PA0","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
"PA1","TEST_1P","Measurement_Points:Measurement_Point_Round-TH_Small",""
